T22p0227a02	xu	序
T22p0231b19	pj1	婬戒
T22p0238a26	pj2	盜戒
T22p0253c08	pj3	殺人戒
T22p0257c16	pj4	大妄語戒
T22p0262a19	ss1	故失精戒
T22p0271a19	ss2	摩觸女人戒
T22p0267c19	ss3	與女人麤語戒
T22p0269c20	ss4	向女歎身索供戒
T22p0271a20	ss5	媒人戒
T22p0276a29	ss6	無主僧不處分過量房戒
T22p0279a18	ss7	有主僧不處分房戒
T22p0280a19	ss8	無根重罪謗他戒
T22p0281a20	ss9	假根謗戒
T22p0281c12	ss10	破僧違諫戒
T22p0283b15	ss11	助破僧違諫戒
T22p0284c22	ss12	汙家擯謗違諫戒
T22p0286c16	ss13	惡性拒僧違諫戒
T22p0289c19	ay1	二不定法屏處不定戒
T22p0290c22	ay2	二不定法露處不定戒
T22p0291a16	nc1	長衣過限戒
T22p0293c17	nc2	離三衣宿戒
T22p0298b25	nc3	月望衣戒
T22p0299c06	nc4	取非親里尼衣戒
T22p0300b21	nc5	使非親里尼浣故衣戒
T22p0301c03	nc6	從非親里居士乞衣戒
T22p0302a19	nc7	過分取衣戒
T22p0303a06	nc8	勸增衣價戒
T22p0305a26	nc9	勸二家增衣價戒
T22p0305c11	nc10	過限索衣價戒
T22p0306c07	nc11	乞蠶綿作袈裟戒
T22p0307a27	nc12	黑毛作臥具戒
T22p0307c20	nc13	白衣作臥具戒
T22p0308b12	nc14	減六年作臥具戒
T22p0309a15	nc15	不貼坐具戒
T22p0309b25	nc16	持羊毛過限戒
T22p0310b07	nc17	使非親里尼浣染毛戒
T22p0310c06	nc18	畜錢寶戒
T22p0311a03	nc19	貿寶戒
T22p0312c03	nc20	販賣戒
T22p0314b08	nc21	畜長缽過限戒
T22p0314c06	nc22	乞缽戒
T22p0315a11	nc23	自乞縷使非親友織戒
T22p0315b07	nc24	勸織師增衣縷戒
T22p0316b03	nc25	先與衣後奪戒
T22p0318b28	nc26	畜七日藥過限戒
T22p0318c27	nc27	過前求雨衣用戒
T22p0320b06	nc28	過前受急施衣後畜戒
